report_time,facility_name,wait_time,times_unavailable
2026-08-01 02:10:00.000000,Rockyview General Hospital,363,0
2026-08-01 02:10:00.000000,Royal Alexandra Hospital,345,0
2026-08-01 02:10:00.000000,Sheldon M. Chumir Centre,374,0
2026-08-01 02:10:00.000000,South Calgary Health Centre,,0
2026-08-01 02:10:00.000000,South Health Campus,365,0
2026-08-01 02:10:00.000000,Stollery Children's Hospital,213,0
2026-08-01 02:10:00.000000,Strathcona Community Hospital,259,0
2026-08-01 02:10:00.000000,Sturgeon Community Hospital,240,0
2026-08-01 02:10:00.000000,University of Alberta Hospital,227,0
2026-08-01 02:10:00.000000,WestView Health Centre,412,0
2026-08-01 02:20:00.000000,Airdrie Community Health Centre,398,0
2026-08-01 02:20:00.000000,Alberta Children's Hospital,90,0
2026-08-01 02:20:00.000000,Chinook Regional Hospital,170,0
2026-08-01 02:20:00.000000,Cochrane Community Health Centre,,0
2026-08-01 02:20:00.000000,Devon General Hospital,127,0
2026-08-01 02:20:00.000000,Foothills Medical Centre,406,0
2026-08-01 02:20:00.000000,Fort Sask Community Hospital,143,0
2026-08-01 02:20:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 02:20:00.000000,Grey Nuns Community Hospital,285,0
2026-08-01 02:20:00.000000,Innisfail Health Centre,,1
2026-08-01 02:20:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 02:20:00.000000,Leduc Community Hospital,164,0
2026-08-01 02:20:00.000000,Medicine Hat Regional Hospital,285,0
2026-08-01 02:20:00.000000,Misericordia Community Hospital,315,0
2026-08-01 02:20:00.000000,Northeast Community Health Centre,234,0
2026-08-01 02:20:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 02:20:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 02:20:00.000000,Peter Lougheed Centre,462,0
2026-08-01 02:20:00.000000,Red Deer Regional Hospital,172,0
2026-08-01 02:20:00.000000,Rockyview General Hospital,368,0
2026-08-01 02:20:00.000000,Royal Alexandra Hospital,358,0
2026-08-01 02:20:00.000000,Sheldon M. Chumir Centre,360,0
2026-08-01 02:20:00.000000,South Calgary Health Centre,,0
2026-08-01 02:20:00.000000,South Health Campus,365,0
